Date,Value
1966-09-30,-0.1101942305
1966-06-30,-0.0591174022
1966-03-31,-0.0459009966
1965-12-31,0.0415654753
1965-09-30,0.0720597214
1965-06-30,-0.0236432147
1965-03-31,0.0170683994
1964-12-31,-0.0014165439
1964-09-30,0.0527600722
1964-06-30,0.0223905372
1964-03-31,0.0659807327
1963-12-31,0.0411577669
1963-09-30,0.036654029
1963-06-30,0.0356912618
1963-03-31,0.0466492869
1962-12-31,0.1262910636
1962-09-30,0.0315350627
1962-06-30,-0.2060541764
1962-03-31,-0.0330853188
1961-12-31,0.0426833616
1961-09-30,0.0252207731
1961-06-30,0.0108330993
1961-03-31,0.0986215071
1960-12-31,0.0616230565
1960-09-30,-0.0944085417
1960-06-30,0.0389724128
1960-03-31,-0.0923957843
1959-12-31,0.0754812563
1959-09-30,-0.0185208204
1959-06-30,0.0696182546
1959-03-31,0.0309432023
1958-12-31,0.0969009002
1958-09-30,0.1127399724
1958-06-30,0.0703285881
1958-03-31,0.0254079736
1957-12-31,-0.0451676529
1957-09-30,-0.093365654
1957-06-30,0.0599818875
1957-03-31,-0.0493723347
1956-12-31,0.0509626512
1956-09-30,-0.035573684
1956-06-30,-0.0371441412
1956-03-31,0.0478910729
1955-12-31,0.0466760962
1955-09-30,0.0337631264
1955-06-30,0.1017329753
1955-03-31,0.0131308885
1954-12-31,0.1218720524
1954-09-30,0.080742362
1954-06-30,0.0989094264
1954-03-31,0.080491278
1953-12-31,0.0638539615
1953-09-30,-0.0157310072
1953-06-30,-0.0414835459
1953-03-31,-0.0412127441
1952-12-31,0.0786741066
1952-09-30,-0.0133085393
1952-06-30,0.0178134046
1952-03-31,0.0008542882
1951-12-31,-0.007117569
1951-09-30,0.1175403891
1951-06-30,-0.0213761394
1951-03-31,0.0532262861
1950-12-31,0.0399805619
1950-09-30,0.0824924681
1950-06-30,0.0148507644
1950-03-31,0.0295807725
1949-12-31,0.0965426552
1949-09-30,0.0901326006
1949-06-30,-0.0546583851
1949-03-31,-0.0011280316
1948-12-31,-0.005608525
1948-09-30,-0.0589042542
1948-06-30,0.0691873589
1948-03-31,-0.0218591301
1947-12-31,0.0206772213
1947-09-30,0.00107163
1947-06-30,0.0005643341
1947-03-31,0
1946-12-31,0.027723002
1946-09-30,-0.1614628927
1946-06-30,0.0293867334
1946-03-31,0.0354569488
1945-12-31,0.0616366738
1945-09-30,0.099340553
1945-06-30,0.0704617577
1945-03-31,0.0137211134
1944-12-31,0.0380971853
1944-09-30,-0.011120097
1944-06-30,0.0687121867
1944-03-31,0.021708735
1943-12-31,-0.0301884099
1943-09-30,-0.0227367834
1943-06-30,0.0498645383
1943-03-31,0.1438023451
1942-12-31,0.094308496
1942-09-30,0.0558351074
1942-06-30,0.0382799156
1942-03-31,-0.1030100937
